Name,WAR,WAR7,JAWS,WAR/162,oWAR,dWAR,WAA,Yrs,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,ID
Wilbert Robinson HOF,6.7,7.9,7.3,0.8,11.9,2.4,-10.1,17,0,1371,5433,5075,637,1388,212,51,18,722,196,,286,323,.273,.316,.346,.662,83,robinwi01
Clyde Kluttz,7.3,7.3,7.3,1.8,4.9,4.4,0.0,9,0,656,2077,1903,172,510,90,8,19,212,5,3,132,119,.268,.318,.354,.671,86,kluttcl01
Mike Redmond,6.3,8.2,7.2,1.3,6.1,4.0,-1.8,13,0,764,2503,2264,208,649,117,3,13,243,1,2,145,255,.287,.342,.358,.700,86,redmomi01
Gerald Laird,6.5,7.9,7.2,1.3,5.1,6.3,-3.1,13,0,799,2734,2452,314,597,137,9,38,238,21,11,193,494,.243,.305,.353,.658,74,lairdge01
Ryan Jeffers,7.2,7.2,7.2,2.9,6.8,2.4,2.6,5,0,396,1391,1232,160,284,57,4,59,176,6,3,115,376,.231,.310,.427,.737,104,jeffery01
Bob Wood,7.2,7.2,7.2,3.0,7.6,1.6,2.2,7,0,383,1371,1246,149,350,73,15,2,168,15,,89,33,.281,.338,.368,.707,101,woodbo01
Fred Jacklitsch,6.7,7.5,7.1,2.2,6.6,2.9,2.4,13,0,490,1592,1344,160,327,64,12,5,153,35,,201,258,.243,.349,.320,.669,98,jacklfr01
Larry Brown,7.5,6.6,7.1,1.6,6.9,2.2,-0.7,22,7,741,2499,2182,258,568,89,31,13,281,19,0,254,,.260,.343,.347,.690,88,brownla02
Eddie Ainsmith,6.4,7.7,7.1,1.0,7.3,4.3,-6.5,15,0,1078,3430,3048,300,707,108,54,22,320,86,19,263,407,.232,.296,.324,.620,76,ainsmed01
Red Dooin,5.2,8.8,7.0,0.7,7.4,6.3,-9.2,15,0,1290,4285,4004,333,961,139,31,10,344,133,6,155,328,.240,.272,.298,.570,72,dooinre01
John Wockenfuss,7.1,6.9,7.0,1.4,11.4,-5.2,-0.7,12,0,795,2373,2072,267,543,73,11,86,310,5,11,277,278,.262,.349,.432,.782,115,wockejo01
Jacob Stallings,6.3,7.7,7.0,1.9,4.0,5.6,0.6,9,0,533,1793,1586,160,379,78,2,33,184,1,1,168,395,.239,.319,.353,.672,83,stallja01
William Clarke,5.4,8.6,7.0,0.9,6.6,3.0,-7.8,13,0,950,3674,3346,394,858,110,32,20,429,54,,176,218,.256,.310,.326,.637,75,clarkbo02
Tucker Barnhart,6.7,7.2,7.0,1.2,4.2,7.7,-3.3,11,0,912,3088,2736,254,659,131,6,53,292,8,5,296,649,.241,.318,.351,.669,79,barnhtu01
Kirt Manwaring,5.2,8.7,6.9,0.8,-0.1,10.5,-5.1,13,0,1008,3338,2982,248,733,111,20,21,278,10,19,243,505,.246,.311,.318,.629,69,manwaki01
Martín Maldonado,6.6,7.2,6.9,0.9,2.4,11.4,-6.3,14,0,1166,3867,3449,358,701,132,4,115,372,3,5,296,1050,.203,.278,.344,.622,70,maldoma01
Tyler Stephenson,6.9,6.9,6.9,2.4,8.1,0.6,1.5,5,0,470,1637,1455,212,389,76,3,50,208,2,1,150,383,.267,.343,.427,.770,105,stephty01
Gene Oliver,6.5,7.2,6.9,1.3,10.3,-3.3,-2.9,10,0,786,2467,2216,268,546,111,5,93,320,24,21,215,420,.246,.315,.427,.742,103,olivege01
Frank Fernández,6.8,6.8,6.8,3.9,5.9,2.3,3.7,6,0,285,908,727,92,145,21,2,39,116,4,4,164,231,.199,.350,.395,.744,114,fernafr01
Doug Allison,6.9,6.8,6.8,3.5,4.9,3.2,1.9,10,0,318,1431,1407,236,382,44,10,2,139,5,2,24,44,.271,.284,.321,.605,93,allisdo01
Poindexter Williams,6.8,6.9,6.8,2.4,6.7,0.9,1.7,10,0,448,1500,1397,169,415,62,25,22,247,10,,87,,.297,.343,.424,.768,106,willipo02
Tom Young,6.6,6.9,6.8,3.1,6.3,1.1,2.7,10,1,346,1165,1058,183,314,56,24,11,190,33,,99,,.297,.359,.426,.785,111,youngto01
Gabby Street,6.4,7.0,6.7,2.1,3.8,6.0,-0.1,8,0,504,1689,1501,98,312,44,11,2,105,17,0,119,144,.208,.273,.256,.529,66,streega01
Jake Gibbs,6.7,6.8,6.7,2.0,3.8,6.1,0.4,10,0,538,1795,1639,157,382,53,8,25,146,28,22,120,231,.233,.289,.321,.610,81,gibbsja01
Omar Narváez,6.2,7.2,6.7,1.5,8.8,1.1,-1.6,9,1,677,2298,2016,228,507,83,2,53,203,0,2,240,435,.251,.334,.374,.708,95,narvaom01
Curt Casali,6.9,6.4,6.6,2.0,5.1,4.5,1.6,11,0,543,1579,1367,157,298,61,1,48,162,2,2,169,423,.218,.312,.369,.682,86,casalcu01
Mack Eggleston,6.2,6.9,6.6,2.0,5.8,1.2,0.1,12,0,509,1867,1645,219,442,74,22,24,248,21,,180,,.269,.345,.384,.729,96,egglema01
Fran Healy,6.5,6.6,6.6,2.3,6.1,3.3,1.4,9,0,470,1496,1326,145,332,60,6,20,141,30,17,154,242,.250,.329,.350,.679,91,healyfr02
Chris Fulmer,6.5,6.5,6.5,4.2,4.1,3.2,4.5,5,0,252,1004,876,176,216,37,9,1,85,76,,122,65,.247,.343,.313,.655,106,fulmech02
Manny Piña,6.4,6.6,6.5,2.5,3.4,5.0,2.4,10,0,418,1255,1126,133,274,55,2,43,149,4,1,94,261,.243,.312,.410,.722,90,pinama01
Ed Taubensee,5.5,7.5,6.5,0.9,12.0,-2.0,-4.2,11,0,975,3178,2874,351,784,151,9,94,419,11,10,255,574,.273,.331,.430,.761,99,taubeed01
Jarrod Saltalamacchia,5.9,7.1,6.5,1.1,10.0,0.6,-5.1,12,0,895,3191,2852,377,662,161,6,110,381,5,7,304,984,.232,.306,.408,.715,91,saltaja01
Verne Clemons,6.5,6.5,6.5,2.2,7.0,1.1,1.7,7,0,474,1415,1271,78,364,56,11,5,140,6,1,119,62,.286,.348,.360,.708,98,clemove01
Charlie Berry,5.9,6.9,6.4,1.4,4.4,3.4,-2.3,11,0,709,2217,2018,196,539,88,29,23,256,13,7,160,196,.267,.322,.374,.696,84,berrych02
Chris Cannizzaro,6.3,6.5,6.4,1.4,4.4,5.9,-1.6,13,1,740,2240,1950,132,458,66,12,18,169,3,17,241,354,.235,.319,.309,.628,78,cannich01
Pat Collins,5.6,7.1,6.4,1.7,6.9,-0.1,-0.1,10,0,543,1480,1204,146,306,46,6,33,168,4,4,235,202,.254,.378,.385,.762,98,collipa01
Ed Herrmann,5.9,6.9,6.4,1.0,8.8,2.2,-4.7,11,1,922,3057,2729,247,654,92,4,80,320,6,8,260,361,.240,.310,.364,.674,91,herrmed01
Yainer Diaz,6.4,6.4,6.4,4.0,6.0,0.9,3.1,3,0,258,1005,948,121,276,52,3,39,145,2,0,36,183,.291,.317,.476,.793,121,diazya02
Elias Díaz,5.7,6.9,6.3,1.3,5.1,4.6,-2.5,10,1,724,2517,2317,242,582,123,4,62,297,2,2,169,480,.251,.304,.388,.692,82,diazel01
Joe Girardi,5.6,7.1,6.3,0.7,4.8,7.9,-8.8,15,1,1277,4535,4127,454,1100,186,26,36,422,44,31,279,607,.267,.315,.350,.666,72,girarjo01
Jonah Heim,6.3,6.3,6.3,2.1,4.9,4.4,0.5,5,1,484,1768,1625,184,371,73,2,57,239,8,2,125,334,.228,.285,.381,.666,86,heimjo01
Joe Greene,6.3,6.3,6.3,4.3,6.1,0.6,3.6,11,3,236,863,723,135,193,32,20,16,125,12,,123,,.267,.376,.433,.809,135,greenjo04
John Wathan,4.9,7.6,6.3,0.9,6.2,1.4,-4.0,10,0,860,2764,2505,305,656,90,25,21,261,105,36,199,265,.262,.318,.343,.661,83,wathajo01
Luke Sewell,4.8,7.7,6.2,0.5,2.9,6.9,-17.6,20,1,1630,6047,5383,653,1393,272,56,20,698,66,45,486,307,.259,.323,.341,.665,70,sewellu01
William Fischer,6.2,6.2,6.2,2.4,7.2,1.4,2.9,5,0,412,1226,1099,109,301,50,15,10,115,20,1,90,66,.274,.332,.374,.706,110,fischwi01
Tom Lampkin,6.2,6.1,6.2,1.3,5.0,4.0,-0.4,13,0,777,2052,1796,224,422,78,8,56,236,23,17,193,286,.235,.319,.381,.700,86,lampkto01
Rod Barajas,4.6,7.8,6.2,0.7,5.5,5.6,-8.0,14,0,1114,3784,3460,396,812,187,1,136,480,2,2,207,638,.235,.284,.407,.691,79,barajro01
Yorvit Torrealba,5.4,6.7,6.1,1.0,5.9,4.7,-4.7,13,0,907,3183,2875,306,737,162,12,56,339,19,17,222,544,.256,.315,.379,.694,80,torreyo01
Ed Ott,5.9,6.0,5.9,1.7,5.1,4.0,-0.6,8,0,567,1961,1792,196,465,76,10,33,195,14,16,138,254,.259,.311,.368,.680,86,otted01
Lew Brown,5.9,5.9,5.9,2.5,5.3,2.2,0.9,7,0,378,1576,1531,205,379,83,31,10,169,,,45,155,.248,.269,.362,.631,103,brownle01
Walter Schmidt,5.6,6.2,5.9,1.2,2.3,6.8,-3.1,10,0,766,2635,2411,216,619,63,20,3,234,57,16,137,105,.257,.301,.303,.604,69,schmiwa01
Ron Hodges,6.1,5.5,5.8,1.5,6.1,2.6,0.6,12,0,666,1683,1426,119,342,56,2,19,147,10,13,224,217,.240,.342,.322,.663,88,hodgero01
John Buck,5.8,5.7,5.8,0.9,11.0,1.6,-7.9,11,1,1090,4009,3612,389,844,172,9,134,491,6,12,307,959,.234,.301,.398,.698,86,buckjo01
Rollie Hemsley,3.7,7.8,5.8,0.4,2.6,6.0,-15.0,19,5,1593,5513,5047,562,1321,257,72,31,555,29,22,357,395,.262,.311,.360,.671,74,hemslro01
Buck Martinez,4.5,6.9,5.7,0.7,3.2,7.6,-5.7,17,0,1049,3072,2743,245,618,128,10,58,321,5,10,230,419,.225,.284,.343,.627,73,martibu01
Jerry May,5.4,6.1,5.7,1.6,3.6,4.9,-0.8,10,0,556,1716,1527,120,357,63,10,15,130,1,2,157,293,.234,.307,.318,.625,81,mayje01
Jim Stephens,5.7,5.7,5.7,2.1,3.7,4.6,0.3,6,0,428,1383,1252,95,276,30,21,3,97,14,2,77,169,.220,.273,.285,.558,73,stephji01
Jeff Reed,4.4,6.9,5.7,0.6,5.4,4.4,-6.8,17,0,1234,3566,3101,311,774,144,10,61,323,7,9,391,566,.250,.334,.361,.695,82,reedje02
Mickey Owen,4.5,6.7,5.6,0.6,3.5,4.7,-9.8,13,4,1209,4074,3649,338,929,163,21,14,378,36,18,326,181,.255,.318,.322,.640,76,owenmi01
Toby Hall,4.7,6.4,5.6,1.1,3.0,6.1,-4.2,9,0,686,2514,2350,211,616,123,1,46,269,2,8,104,216,.262,.297,.374,.671,78,hallto02
Ronny Paulino,5.3,5.7,5.5,1.5,4.4,4.0,-0.8,8,0,573,2032,1867,181,508,93,1,33,216,4,2,145,328,.272,.324,.376,.700,85,pauliro01
Glenn Borgmann,5.6,5.5,5.5,1.9,4.2,4.6,0.2,9,0,474,1526,1294,137,296,42,4,16,151,4,3,191,191,.229,.325,.304,.630,79,borgmgl01
John Henry,4.9,6.0,5.5,1.2,4.2,4.6,-4.0,9,0,687,2255,1920,161,397,54,15,2,171,55,12,244,271,.207,.303,.254,.557,65,henryjo02
Del Rice,4.7,6.1,5.4,0.6,4.3,5.1,-11.7,17,1,1309,4314,3826,342,908,177,20,79,441,2,3,382,522,.237,.312,.356,.668,78,ricede01
Al Todd,4.3,6.4,5.4,0.8,3.7,3.1,-5.9,11,0,863,2940,2785,286,768,119,29,35,366,18,17,104,243,.276,.307,.377,.684,83,toddal01
Jim Hegan,4.6,6.1,5.4,0.4,1.3,8.7,-11.7,17,5,1666,5322,4772,550,1087,187,46,92,525,15,24,456,742,.228,.295,.344,.639,74,heganji01
Bob Stinson,4.3,6.4,5.4,1.1,7.8,0.2,-2.2,12,0,652,1921,1634,166,408,61,7,33,180,8,10,201,254,.250,.337,.356,.693,93,stinsbo01
Sam Agnew,5.3,5.3,5.3,1.5,0.9,7.7,-1.5,7,0,563,1722,1537,105,314,41,14,2,98,29,10,102,216,.204,.265,.253,.518,56,agnewsa01
Kenji Johjima,5.3,5.3,5.3,1.9,6.7,1.6,-0.8,4,0,462,1722,1609,166,431,84,1,48,198,7,5,66,148,.268,.310,.411,.721,91,johjike01
Jim Brown,5.1,5.5,5.3,1.2,6.0,-1.3,-3.4,16,0,701,2552,2295,368,631,107,36,17,365,73,,212,,.275,.339,.375,.715,93,brownji04
Doug Mirabelli,4.8,5.9,5.3,1.4,4.5,2.9,-0.9,12,0,566,1655,1456,162,337,78,2,58,206,3,0,165,415,.231,.317,.407,.724,87,mirabdo01
Bill Perkins,4.4,6.1,5.3,1.4,4.9,0.2,-1.3,16,2,500,1835,1678,239,469,65,28,29,281,20,,128,,.279,.333,.403,.736,96,perkibi01
Red Wilson,4.6,5.9,5.2,1.2,5.2,2.0,-1.8,10,0,602,2038,1765,206,455,84,8,24,189,25,12,215,163,.258,.338,.355,.694,87,wilsore01
Tom Murphy,4.8,5.6,5.2,2.3,4.8,1.7,1.3,9,0,327,1055,945,117,226,46,2,49,128,3,1,94,339,.239,.310,.448,.757,104,murphto04
Con Daily,4.0,6.3,5.2,1.0,5.7,1.6,-4.4,12,0,629,2454,2215,280,541,74,22,2,262,94,,208,208,.244,.315,.300,.615,76,dailyco01
Todd Pratt,4.3,6.0,5.1,1.0,5.5,1.3,-1.4,14,0,662,1869,1612,194,404,84,3,49,224,6,2,208,454,.251,.344,.398,.741,94,prattto02
Joe Tipton,5.1,5.1,5.1,2.0,3.9,2.4,1.1,7,0,417,1325,1117,116,264,36,5,29,125,3,3,186,142,.236,.351,.355,.706,92,tiptojo01
Ed Sweeney,4.3,5.8,5.1,1.1,6.4,1.9,-4.1,9,0,644,2128,1841,173,427,48,13,3,151,63,14,181,182,.232,.310,.277,.587,73,sweenje02
Austin Barnes,4.5,5.6,5.0,1.2,4.6,2.9,-1.0,10,0,599,1713,1474,202,329,60,3,35,160,23,6,195,377,.223,.324,.339,.663,81,barneau01
Glenn Myatt,3.6,6.3,5.0,0.6,7.0,-1.2,-7.7,16,0,1004,3014,2678,346,722,137,37,38,387,20,18,248,195,.270,.334,.391,.725,85,myattgl01
Austin Nola,5.0,5.0,5.0,2.3,5.2,1.1,1.0,5,0,345,1196,1049,125,261,51,2,24,136,3,2,107,207,.249,.326,.370,.696,96,nolaau01
Birdie Tebbetts,3.8,6.1,5.0,0.5,3.1,4.2,-9.1,14,4,1162,4153,3704,357,1000,169,22,38,469,29,23,389,261,.270,.341,.358,.700,81,tebbebi01
Red Kleinow,4.8,5.1,5.0,1.3,4.5,4.1,-2.6,8,0,584,1884,1665,146,354,45,20,3,135,42,,153,214,.213,.282,.269,.551,71,kleinre01
Chris Snyder,4.5,5.4,4.9,1.0,4.1,4.4,-2.9,10,0,715,2459,2087,227,467,98,1,77,298,0,3,309,560,.224,.328,.382,.710,84,snydech02
Bruce Edwards,4.7,5.2,4.9,1.3,5.8,0.4,-2.8,10,2,591,1896,1675,191,429,67,20,39,241,9,10,190,179,.256,.335,.390,.725,93,edwarbr01
Pat Deasley,4.6,5.2,4.9,1.8,2.9,3.8,-0.4,8,0,402,1519,1466,161,358,37,9,0,120,7,,49,89,.244,.271,.282,.552,74,deaslpa01
Joe Oliver,3.8,6.0,4.9,0.6,3.6,5.9,-7.9,13,0,1076,3698,3367,320,831,174,3,102,476,13,13,248,637,.247,.299,.391,.690,83,olivejo01
Michael Barrett,2.7,7.0,4.9,0.4,10.1,-2.0,-9.0,12,0,1054,3873,3512,398,925,220,21,98,424,11,17,279,480,.263,.320,.422,.742,89,barremi01
Devin Mesoraco,4.7,5.1,4.9,1.6,5.3,1.9,-0.3,8,1,468,1574,1402,152,325,66,2,58,192,4,7,138,316,.232,.309,.406,.715,95,mesorde01
Carl Sawatski,4.2,5.4,4.8,1.1,5.5,0.8,-2.1,11,0,633,1661,1449,133,351,46,5,58,213,2,0,191,251,.242,.330,.401,.731,93,sawatca01
Pat Borders,3.6,6.0,4.8,0.5,4.8,4.8,-8.4,17,0,1099,3499,3282,289,831,168,12,69,346,9,14,155,557,.253,.288,.375,.663,77,bordepa01
Johnny Gooch,4.1,5.5,4.8,0.8,4.4,2.0,-4.3,11,0,805,2615,2363,227,662,98,29,7,293,11,6,206,141,.280,.342,.355,.697,80,goochjo01
Sam Trott,4.7,4.9,4.8,2.1,4.5,2.0,0.7,8,0,360,1412,1354,166,338,73,22,3,123,9,,54,63,.250,.280,.343,.623,93,trottsa01
Farmer Vaughn,2.8,6.7,4.8,0.5,3.5,2.0,-8.8,13,0,915,3645,3454,474,946,147,53,21,525,92,,151,166,.274,.307,.365,.672,81,vaughfa01
Alva Williams,4.8,4.8,4.8,1.6,5.7,0.0,-0.6,7,0,497,1361,1186,111,314,51,23,2,145,27,8,95,123,.265,.328,.352,.680,97,williri01
Doc Bushong,3.6,5.9,4.8,0.9,-0.6,8.1,-3.9,13,0,672,2527,2397,287,514,58,13,2,184,39,0,124,125,.214,.255,.252,.507,56,bushodo01
Hal Smith,4.1,5.4,4.7,0.8,7.8,-0.3,-5.7,10,0,879,2942,2682,269,715,148,10,58,323,7,10,196,361,.267,.317,.394,.711,94,smithha08
Hank Foiles,4.8,4.7,4.7,1.3,5.3,2.0,-1.2,11,1,608,1655,1455,171,353,59,10,46,166,3,7,170,295,.243,.321,.392,.713,92,foileha01
Oscar Stanage,3.9,5.5,4.7,0.6,6.8,4.2,-11.3,14,0,1096,3856,3503,248,819,123,34,8,328,30,6,219,464,.234,.284,.295,.579,69,stanaos01
Duffy Dyer,3.6,5.6,4.6,0.8,2.2,5.3,-3.7,14,0,722,2266,1993,151,441,74,11,30,173,10,4,228,415,.221,.306,.315,.620,73,dyerdu01
Lew McCarty,4.5,4.7,4.6,1.4,7.8,-0.4,-0.8,9,0,532,1643,1479,113,393,47,20,5,138,20,4,102,109,.266,.318,.335,.653,97,mccarle01
Don Pavletich,4.1,5.2,4.6,1.2,6.8,-1.8,-1.7,12,0,536,1549,1373,163,349,73,8,46,193,5,2,148,237,.254,.328,.420,.747,104,pavledo01
Caleb Joseph,4.6,4.6,4.6,1.7,1.4,5.9,-0.1,7,0,425,1367,1263,133,281,58,4,32,127,2,2,73,320,.222,.270,.351,.621,69,josepca01
Doc Kennedy,4.5,4.5,4.5,4.6,3.3,2.3,2.2,5,0,160,630,615,67,160,25,4,1,53,,,15,37,.260,.278,.319,.596,97,kennedo01
Freddy Fermin,4.5,4.5,4.5,4.0,2.4,3.1,2.5,3,0,184,610,563,67,153,24,1,15,68,2,1,36,119,.272,.316,.398,.714,97,fermifr01
Zack Taylor,3.1,5.9,4.5,0.6,0.0,5.9,-7.0,16,0,918,3101,2865,258,748,113,28,9,311,9,9,161,192,.261,.304,.329,.634,68,tayloza02
Tony Eusebio,4.5,4.5,4.5,1.2,5.1,2.0,-1.5,9,0,598,1955,1739,179,479,87,5,30,241,1,5,182,324,.275,.346,.383,.729,91,eusebto01
Don Padgett,4.1,4.8,4.5,1.0,7.5,-3.8,-3.7,8,0,699,2148,1991,247,573,111,16,37,338,6,6,141,130,.288,.336,.415,.752,102,padgedo01
Einar Díaz,3.3,5.7,4.5,0.8,2.3,4.8,-4.5,11,0,673,2257,2061,222,523,116,6,21,202,21,10,96,199,.254,.302,.346,.649,68,diazei01
Carson Kelly,4.0,4.9,4.5,1.2,4.4,2.7,-2.1,9,0,556,1802,1591,190,357,71,2,54,207,3,0,174,368,.224,.307,.373,.681,86,kellyca02
John Orsino,4.4,4.4,4.4,2.2,5.3,0.9,0.8,7,0,332,1135,1014,114,252,44,5,40,123,3,3,92,191,.249,.319,.420,.739,106,orsinjo01
Tommie Dukes,4.2,4.6,4.4,2.7,4.7,-0.1,1.3,10,1,252,911,824,129,248,37,13,13,131,5,,68,,.301,.359,.425,.784,114,dukesto02
Dave Rader,4.1,4.7,4.4,0.8,6.0,2.5,-4.5,10,0,846,2702,2405,254,619,107,12,30,235,8,4,245,180,.257,.326,.349,.675,86,raderda01
José Molina,3.1,5.7,4.4,0.5,0.9,7.7,-6.9,15,0,947,2795,2546,240,592,117,3,39,223,20,7,154,576,.233,.282,.327,.608,64,molinjo01
Dick Buckley,4.3,4.5,4.4,1.3,4.1,3.1,-2.7,8,0,524,1974,1833,213,449,72,14,26,216,25,,98,188,.245,.291,.342,.633,80,buckldi01
Dan Kennard,4.3,4.3,4.3,3.5,4.5,0.4,2.0,5,0,202,715,641,87,188,42,11,13,121,10,,43,,.293,.351,.454,.805,122,kennada01
Buck Rodgers,3.4,5.2,4.3,0.6,2.5,6.8,-7.4,9,0,932,3353,3033,259,704,114,18,31,288,17,27,234,409,.232,.288,.312,.600,74,rodgebu01
Lew Drill,4.3,4.3,4.3,2.3,7.1,-1.1,0.1,4,0,293,1057,896,87,231,41,10,2,100,21,,114,114,.258,.353,.333,.686,109,drillle01
Fatty Briody,4.1,4.3,4.2,2.1,1.9,4.3,0.0,8,0,323,1231,1186,134,271,52,7,3,115,6,,44,119,.228,.257,.292,.548,69,briodfa01
Barry Foote,3.3,5.1,4.2,0.8,1.5,5.6,-3.9,10,0,687,2300,2127,191,489,103,10,57,230,10,6,136,287,.230,.277,.368,.645,75,footeba01
Geno Petralli,3.8,4.6,4.2,0.8,7.4,-0.4,-3.3,12,0,809,2131,1874,184,501,83,9,24,192,8,6,216,263,.267,.344,.360,.703,95,petrage01
Bennie Tate,3.7,4.7,4.2,1.1,3.2,1.9,-2.8,10,0,566,1716,1560,144,435,68,16,4,172,5,16,118,51,.279,.330,.351,.681,79,tatebe01
Jerry McNertney,4.0,4.3,4.1,1.1,3.5,3.1,-1.5,9,0,590,1606,1423,129,337,51,6,27,163,3,5,119,199,.237,.298,.338,.636,81,mcnerje01
Earl Grace,4.0,4.2,4.1,1.0,4.0,1.8,-2.9,8,0,627,2088,1877,169,493,83,10,31,251,1,5,185,130,.263,.331,.367,.698,87,graceea01
Scott Servais,3.1,5.1,4.1,0.6,3.4,4.0,-5.3,11,0,820,2778,2493,243,611,130,2,63,319,3,6,183,407,.245,.306,.375,.681,79,servasc01
Brent Mayne,2.8,5.3,4.1,0.4,4.0,5.4,-10.6,15,0,1279,4084,3614,359,951,178,8,38,403,18,27,370,580,.263,.332,.348,.680,76,maynebr01
Josh Bard,3.3,4.9,4.1,0.9,5.5,1.0,-3.1,10,0,586,1981,1778,162,452,109,3,39,220,1,4,175,299,.254,.320,.385,.705,90,bardjo01
Shea Langeliers,4.1,4.1,4.1,2.1,5.0,0.8,0.2,3,0,312,1177,1072,124,231,47,7,57,165,7,4,84,341,.215,.276,.432,.708,100,langesh01
Al Evans,3.5,4.5,4.0,0.8,3.8,1.8,-3.5,12,0,704,2322,2053,188,514,70,23,13,211,14,9,243,206,.250,.332,.326,.658,82,evansal01
Cliff Bolton,4.0,4.0,4.0,1.9,4.3,0.7,0.1,7,0,335,1078,962,113,280,49,18,6,143,3,3,110,50,.291,.366,.398,.764,98,boltocl01
Keibert Ruiz,4.0,4.0,4.0,1.6,4.5,1.9,-1.1,5,0,406,1584,1472,145,366,70,0,42,176,10,3,83,174,.249,.296,.382,.677,90,ruizke01
Peaches Graham,4.0,4.0,4.0,1.7,5.8,0.4,-0.1,7,0,373,1174,999,99,265,34,6,1,85,21,,114,67,.265,.347,.314,.661,96,grahape01
Bob Kearney,3.8,4.1,4.0,1.3,2.0,4.8,-0.9,8,0,479,1474,1356,131,316,66,3,27,133,9,12,67,235,.233,.274,.346,.619,71,kearnbo01
Val Picinich,2.4,5.5,4.0,0.4,8.6,-2.8,-9.6,18,0,1037,3318,2877,298,743,166,26,26,298,31,23,314,382,.258,.334,.361,.695,86,picinva01
Connor Wong,4.0,4.0,4.0,2.2,4.1,1.5,0.8,4,0,285,960,879,120,225,53,4,23,96,16,9,56,271,.256,.311,.404,.715,95,wongco01
Nat Hicks,3.9,3.9,3.9,2.5,4.8,0.5,0.0,6,0,257,1167,1142,172,301,35,6,1,116,9,3,25,23,.264,.279,.307,.587,91,hicksna01
John Hines,3.7,4.0,3.9,1.7,3.3,0.0,-0.6,9,0,356,1282,1177,165,331,59,17,7,184,29,,94,,.281,.339,.378,.717,96,hinesjo01
Dave Engle,3.8,4.0,3.9,1.0,3.4,0.1,-2.0,9,1,594,1784,1643,201,431,88,13,31,181,5,5,120,190,.262,.311,.388,.700,90,engleda01
Phil Roof,3.2,4.4,3.8,0.6,2.6,5.4,-5.1,15,0,857,2405,2151,190,463,69,13,43,210,11,10,184,504,.215,.283,.319,.603,73,roofph01
Gus Niarhos,3.4,4.2,3.8,1.8,2.7,1.4,0.9,9,0,315,858,691,114,174,26,5,1,59,6,7,153,56,.252,.390,.308,.699,89,niarhgu01
Vance Wilson,3.7,3.8,3.8,1.5,2.1,3.4,0.4,8,0,403,1054,953,104,238,42,2,25,129,2,8,46,189,.250,.302,.377,.679,78,wilsova01
Jose Trevino,3.8,3.8,3.8,1.5,2.1,4.2,-0.6,7,1,399,1274,1190,131,281,52,1,32,141,4,2,61,225,.236,.275,.362,.637,75,trevijo01
Lou Berberet,3.8,3.8,3.8,1.4,2.3,3.4,-0.7,7,0,448,1449,1224,118,281,34,10,31,153,2,3,200,195,.230,.337,.350,.687,86,berbelo01
Bill Haselman,3.4,4.1,3.8,0.9,4.6,1.4,-2.7,13,0,589,1747,1606,185,416,94,3,47,210,9,9,114,300,.259,.311,.409,.720,84,haselbi01
Earle Brucker,3.7,3.7,3.7,2.5,3.8,0.6,0.9,5,0,241,811,707,87,205,53,8,12,105,2,4,97,65,.290,.376,.438,.815,108,bruckea01
Lenny Webster,3.3,4.2,3.7,0.9,4.7,1.2,-2.1,12,0,587,1617,1450,157,368,73,2,33,176,1,3,140,209,.254,.324,.375,.699,84,webstle01
René Rivera,2.4,5.1,3.7,0.7,1.2,4.1,-3.1,13,0,542,1629,1492,120,330,65,2,43,176,1,1,93,446,.221,.273,.354,.627,72,riverre01
Victor Caratini,3.6,3.8,3.7,1.0,4.3,1.7,-2.8,8,0,606,1847,1631,180,393,61,1,46,201,4,3,165,392,.241,.320,.364,.685,88,caratvi01
Bill Cash,3.7,3.7,3.7,2.1,3.5,0.8,0.7,6,2,279,1057,930,137,254,36,17,8,131,4,,103,,.273,.347,.374,.722,99,cashbi01
Sammy White,1.8,5.5,3.7,0.3,1.4,4.9,-10.1,11,1,1043,3792,3502,324,916,167,20,66,421,14,15,218,381,.262,.305,.377,.682,80,whitesa02
Pinch Thomas,2.8,4.4,3.6,0.9,4.4,0.6,-1.9,10,0,481,1205,1035,88,245,27,8,2,102,12,2,118,85,.237,.318,.284,.602,78,thomapi01
Johnny Oates,3.2,3.9,3.6,0.9,1.6,4.8,-2.7,11,0,593,1820,1637,146,410,56,2,14,126,11,19,141,149,.250,.309,.313,.622,73,oatesjo01
Tim Laudner,3.2,4.0,3.6,0.7,5.5,1.6,-4.1,9,1,734,2268,2038,221,458,97,5,77,263,3,3,190,553,.225,.292,.391,.682,84,laudnti01
Fergy Malone,3.6,3.6,3.6,2.6,3.5,1.0,0.1,7,0,220,1084,1052,200,288,32,7,1,157,21,5,32,19,.274,.295,.320,.616,89,malonfe01
Earl Averill,3.6,3.6,3.6,1.3,4.8,-0.3,-0.5,7,0,449,1218,1031,137,249,41,0,44,159,3,3,162,220,.242,.346,.409,.755,102,averiea02
Larry Woodall,2.9,4.2,3.5,0.8,3.7,0.5,-3.0,10,0,548,1526,1317,161,353,52,15,1,161,16,6,159,67,.268,.347,.333,.680,78,woodala01
Klondike Douglass,3.0,4.0,3.5,0.6,8.8,-5.3,-7.8,9,0,748,3136,2800,368,766,85,29,10,275,84,,227,109,.274,.337,.335,.672,91,douglkl01
